Titulo,Categoria,Resumo,Status
"Max Born, o físico quântico que alertou o mundo sobre 'a causa de todos os males'",ciencia,"Avô de Olivia Newton-John e amigo de Einstein, ele foi um dos cientistas mais proeminentes do século 20, mas não tão reconhecido quanto seus pares.",Verdadeira
"“A contenção do idoso é uma manifestação de etarismo”, diz especialista",ciencia,O enfermeiro Rômulo Delvalle faz parte do Ministério Público do Rio e trabalha para mudar prática adotada em instituições ,Verdadeira
Hubble flagra 'nuvens celestiais' e estrela vermelha supergigante se recuperando de explosão,ciencia,Nova imagem e dados científicos do telescópio espacial lançado em 1990 foram divulgados nesta semana pela Nasa e a Agência Espacial Europeia. ,Verdadeira
"O que é a arquitetura passiva, com casas onde não se passa calor nem frio e que quase não consomem energia",ciencia,O conceito surgiu com a crise do petróleo dos anos 1970 e tem o objetivo de reduzir o impacto energético dos edifícios.,Verdadeira
Como escovar os dentes direito? O que diz a ciência,ciencia,"Escovar os dentes de maneira eficaz reduz as chances de contrair uma série de doenças crônicas, além de manter os dentes e gengivas saudáveis — mas a maioria de nós está escovando errado.",Verdadeira
Historiador desvenda origem de povo escravizado na mineração de ouro e diamante no Brasil,ciencia,"Os courás, foram escravizados pelos portugueses em cidades de Minas Gerais. Também conhecido por 'courano', o grupo fazia parte de um importante reino da África, mas acabou capturado e vendido aos europeus.",Verdadeira
"Veja fotos da 'Superlua de esturjão', a última do ano",ciencia,"Fenômeno ocorre na mesma semana que chuva de meteoros Perseidas, que poderá ser vista mais nitidamente no Norte e Nordeste.",Verdadeira
Entenda o que é a Superlua,ciencia,A Lua aparece maior e mais brilhante. Fenômeno acontece quando ela está perto do ponto mais próximo da Terra durante sua órbita.,Verdadeira
Paternidade tardia: quais os riscos de ser pai mais velho?,ciencia,"Ainda que o homem possa gerar filhos por muitas décadas, a tendência é que os espermatozoides ‘se enfraqueçam’ com o passar do tempo, o que aumenta a probabilidade de danos à saúde do filho. Entenda por que isso acontece e como evitar esses perigos.",Verdadeira
'Superlua de esturjão' será vista nesta quinta e será a última do ano,ciencia,"Para avistar o satélite natural, não é preciso nenhum equipamento especial, somente condições climáticas favoráveis. Fenômeno ocorre na mesma semana que chuva de meteoros Perseidas, que poderá ser vista mais nitidamente no Norte e Nordeste.",Verdadeira
Foto de gato selvagem caçando flamingo ganha prêmio de imagens de natureza; veja outras premiadas,ciencia,Confira as fotos vencedoras do concurso Nature TTL Photographer of the Year 2022.,Verdadeira
A patrulha do intestino,ciencia,Estudo mostra como funciona a barreira natural que aciona o sistema imunológico contra patógenos,Verdadeira
"O que são mares leitosos, enigma que a ciência está próxima de resolver",ciencia,"Marinheiros relatam há séculos surpresa ao navegar por mares de onde brota uma luz fluorescente, mas poucos a viram e só agora estão sendo descobertos os segredos do fenômeno lendário.",Verdadeira
